CATEGORIA;CÓDIGO ERP;PART NUMBER;FABRICANTE;TIPO DE MEDIÇÃO;DIÂMETRO DE MONTAGEM;POSIÇÃO DE MONTAGEM;CONEXÃO DO INSTRUMENTO;MATERIAL DO INVÓLUCRO;MATERIAL DOS INTERNOS;VISOR;CLASSE DE EXATIDÃO;UNIDADE DE LEITURA;FAIXA DE TRABALHO;ENCHIMENTO DE GLICERINA;CERTIFICADOS;TUBO SIFÃO;SELO DIAFRAGMA;CONTATO ELÉTRICO;VÁLVULA DE ISOLAMENTO;NCM;ESTOQUE;PREÇO;IMAGENS
MANÔMETRO;;120.04122-0011KG/PSI;QUALITEC;RELATIVO;41MM;ANGULAR CONCENTRICO (TRASEIRO);"1/8"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;11/160;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06214-0001KG/PSI;QUALITEC;RELATIVO;62MM;RETO (INFERIOR);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;01//15;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06214-0002KG/PSI;QUALITEC;RELATIVO;62MM;RETO (INFERIOR);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;2/30;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06214-0003KG/PSI;QUALITEC;RELATIVO;62MM;RETO (INFERIOR);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;3/45;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06214-0004KG/PSI;QUALITEC;RELATIVO;62MM;RETO (INFERIOR);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;4/60;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06214-0006KG/PSI;QUALITEC;RELATIVO;62MM;RETO (INFERIOR);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;6/85;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06214-0007KG/PSI;QUALITEC;RELATIVO;62MM;RETO (INFERIOR);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;7/100;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06214-0010KG/PSI;QUALITEC;RELATIVO;62MM;RETO (INFERIOR);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;10/150;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06214-0014KG/PSI;QUALITEC;RELATIVO;62MM;RETO (INFERIOR);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;14/200;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
MANÔMETRO;;120.06214-0016KG/PSI;QUALITEC;RELATIVO;62MM;RETO (INFERIOR);"1/4"" NPT";AÇO INOXIDÁVEL;LATAO;POLICARBONATO;CLASSE B;PSI X KGF/CM²;16/230;NAO;CONFORMIDADE;NÃO;NÃO;NÃO;NÃO;;;;
